# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# Q_ORDER=64
# Q_ID=250
# STRUCTURE=C2 x C2 x D16
# Q_PC_RELATIVE_ORDERS=2,2,2,2,2,2
# COVER_ORDER=4096
# PC_CONVERSION_KERNEL_ORDER=1
# COVER_TO_Q_KERNEL_ORDER=64
# COVER_KERNEL_CENTRAL=true
# COVER_KERNEL_IN_DERIVED=true
# EXTERIOR_ORDER=256
# EXTERIOR_RELATIVE_ORDERS=2,2,2,2,2,8
# ACTION_COUNT=12
# AUTOMORPHISM_GENERATOR_COUNT=9
# COMMUTATOR_ROW_COUNT=64
ACTIONS
action_index	image_vectors	q_conjugation
46	1,1,0,1,0,1	0,0,0,0,0,0;0,1,0,0,1,7;0,0,1,0,1,7;1,0,0,0,1,4;0,1,1,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,1,1,0,0,0;1,1,0,0,0,3;0,0,1,0,1,7;0,1,0,0,1,7;0,1,0,0,1,7;1,0,1,0,0,3;0,1,0,0,1,7;0,0,1,0,1,7;0,0,1,0,1,7;1,1,1,0,1,4;1,0,0,0,1,4;1,0,0,0,1,4;0,1,1,0,0,0;0,1,1,0,0,0;0,0,0,0,0,0;1,1,1,0,1,4;0,0,0,0,0,0;0,1,1,0,0,0;0,1,1,0,0,0;1,0,1,0,0,3;1,1,0,0,0,3;1,1,0,0,0,3;0,0,1,0,1,7;0,0,1,0,1,7;0,1,0,0,1,7;1,1,0,0,0,3;1,0,1,0,0,3;1,0,1,0,0,3;0,1,0,0,1,7;0,1,0,0,1,7;0,0,1,0,1,7;1,1,1,0,1,4;1,1,1,0,1,4;1,0,0,0,1,4;0,1,1,0,0,0;1,0,0,0,1,4;1,1,1,0,1,4;1,1,1,0,1,4;0,0,0,0,0,0;0,0,0,0,0,0;0,1,1,0,0,0;1,0,1,0,0,3;1,0,1,0,0,3;1,1,0,0,0,3;0,0,1,0,1,7;1,1,0,0,0,3;1,1,0,0,0,3;1,0,1,0,0,3;0,1,0,0,1,7;1,1,1,0,1,4;1,0,0,0,1,4;1,0,0,0,1,4;1,1,1,0,1,4;0,0,0,0,0,0;1,0,1,0,0,3;1,1,0,0,0,3;1,0,0,0,1,4
47	1,1,0,0,1,1	0,0,0,0,0,0;0,0,0,0,1,1;0,0,0,0,1,1;1,0,0,1,1,4;0,1,1,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,0,0,1,0,5;0,1,1,0,1,1;0,0,0,0,1,1;0,0,0,0,1,1;1,0,0,1,0,5;0,1,1,0,1,1;0,0,0,0,1,1;0,0,0,0,1,1;1,1,1,1,1,4;1,0,0,1,1,4;1,0,0,1,1,4;0,1,1,0,0,0;0,1,1,0,0,0;0,0,0,0,0,0;1,0,0,1,1,4;0,1,1,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,1,0,5;1,0,0,1,0,5;1,0,0,1,0,5;0,1,1,0,1,1;0,1,1,0,1,1;0,0,0,0,1,1;1,1,1,1,0,5;1,0,0,1,0,5;1,0,0,1,0,5;0,1,1,0,1,1;0,1,1,0,1,1;0,0,0,0,1,1;1,1,1,1,1,4;1,1,1,1,1,4;1,0,0,1,1,4;0,1,1,0,0,0;1,1,1,1,1,4;1,0,0,1,1,4;1,0,0,1,1,4;0,1,1,0,0,0;0,1,1,0,0,0;0,0,0,0,0,0;1,1,1,1,0,5;1,1,1,1,0,5;1,0,0,1,0,5;0,1,1,0,1,1;1,1,1,1,0,5;1,1,1,1,0,5;1,0,0,1,0,5;0,1,1,0,1,1;1,1,1,1,1,4;1,1,1,1,1,4;1,1,1,1,1,4;1,0,0,1,1,4;0,1,1,0,0,0;1,1,1,1,0,5;1,1,1,1,0,5;1,1,1,1,1,4
48	1,0,1,1,1,0	0,0,0,0,0,0;0,1,0,1,1,6;1,0,1,0,1,7;0,0,0,0,1,4;0,1,0,1,0,0;0,0,0,0,0,6;0,0,0,0,0,4;1,1,1,1,0,1;0,1,0,1,0,2;0,0,0,0,1,6;0,1,0,1,1,4;0,1,0,1,1,2;1,0,1,0,0,3;1,1,1,1,1,7;1,0,1,0,1,5;1,0,1,0,1,3;0,1,0,1,1,4;0,0,0,0,1,2;0,0,0,0,1,0;0,1,0,1,0,6;0,1,0,1,0,4;0,0,0,0,0,2;1,1,1,1,1,5;1,0,1,0,0,1;1,1,1,1,0,7;1,1,1,1,0,5;0,0,0,0,0,2;0,1,0,1,0,0;0,1,0,1,0,6;0,0,0,0,1,4;0,0,0,0,1,2;0,1,0,1,1,0;1,1,1,1,0,3;1,0,1,0,0,1;1,0,1,0,0,7;1,1,1,1,1,5;1,1,1,1,1,3;1,0,1,0,1,1;0,1,0,1,1,2;0,1,0,1,1,0;0,0,0,0,1,6;0,1,0,1,0,2;1,0,1,0,1,5;1,1,1,1,1,3;1,1,1,1,1,1;1,0,1,0,0,7;1,0,1,0,0,5;1,1,1,1,0,3;0,0,0,0,0,0;0,0,0,0,0,6;0,1,0,1,0,4;0,0,0,0,1,0;1,1,1,1,0,1;1,1,1,1,0,7;1,0,1,0,0,5;1,1,1,1,1,1;0,1,0,1,1,6;1,0,1,0,1,3;1,0,1,0,1,1;1,1,1,1,1,7;1,0,1,0,0,3;0,0,0,0,0,4;1,1,1,1,0,5;1,0,1,0,1,7
49	1,0,1,1,0,1	0,0,0,0,0,0;0,1,0,1,1,0;1,0,1,0,1,1;0,0,0,0,1,4;0,1,0,1,0,0;0,0,0,0,0,6;0,0,0,0,0,4;1,1,1,1,0,1;0,1,0,1,0,4;0,0,0,0,1,0;0,1,0,1,1,6;0,1,0,1,1,4;1,0,1,0,0,5;1,1,1,1,1,1;1,0,1,0,1,7;1,0,1,0,1,5;0,1,0,1,1,4;0,0,0,0,1,2;0,0,0,0,1,0;0,1,0,1,0,6;0,1,0,1,0,4;0,0,0,0,0,2;1,1,1,1,1,5;1,0,1,0,0,1;1,1,1,1,0,7;1,1,1,1,0,5;0,0,0,0,0,4;0,1,0,1,0,2;0,1,0,1,0,0;0,0,0,0,1,6;0,0,0,0,1,4;0,1,0,1,1,2;1,1,1,1,0,5;1,0,1,0,0,3;1,0,1,0,0,1;1,1,1,1,1,7;1,1,1,1,1,5;1,0,1,0,1,3;0,1,0,1,1,2;0,1,0,1,1,0;0,0,0,0,1,6;0,1,0,1,0,2;1,0,1,0,1,5;1,1,1,1,1,3;1,1,1,1,1,1;1,0,1,0,0,7;1,0,1,0,0,5;1,1,1,1,0,3;0,0,0,0,0,2;0,0,0,0,0,0;0,1,0,1,0,6;0,0,0,0,1,2;1,1,1,1,0,3;1,1,1,1,0,1;1,0,1,0,0,7;1,1,1,1,1,3;0,1,0,1,1,6;1,0,1,0,1,3;1,0,1,0,1,1;1,1,1,1,1,7;1,0,1,0,0,3;0,0,0,0,0,6;1,1,1,1,0,7;1,0,1,0,1,7
50	1,0,1,0,1,1	0,0,0,0,0,0;0,0,0,1,1,2;1,0,0,0,1,3;0,0,0,1,1,4;0,1,0,1,0,0;0,0,0,0,0,6;0,0,0,0,0,4;1,0,0,1,0,1;0,0,0,0,0,6;0,1,0,0,1,2;0,0,0,1,1,0;0,0,0,1,1,6;1,0,0,1,0,7;1,1,0,1,1,3;1,0,0,0,1,1;1,0,0,0,1,7;0,1,0,0,1,4;0,0,0,1,1,2;0,0,0,1,1,0;0,1,0,1,0,6;0,1,0,1,0,4;0,0,0,0,0,2;1,0,0,0,1,5;1,1,0,0,0,1;1,0,0,1,0,7;1,0,0,1,0,5;0,1,0,1,0,6;0,0,0,0,0,4;0,0,0,0,0,2;0,1,0,0,1,0;0,1,0,0,1,6;0,0,0,1,1,4;1,1,0,0,0,7;1,0,0,1,0,5;1,0,0,1,0,3;1,1,0,1,1,1;1,1,0,1,1,7;1,0,0,0,1,5;0,1,0,0,1,2;0,1,0,0,1,0;0,0,0,1,1,6;0,1,0,1,0,2;1,1,0,1,1,5;1,0,0,0,1,3;1,0,0,0,1,1;1,1,0,0,0,7;1,1,0,0,0,5;1,0,0,1,0,3;0,1,0,1,0,4;0,1,0,1,0,2;0,0,0,0,0,0;0,1,0,0,1,4;1,1,0,0,0,5;1,1,0,0,0,3;1,0,0,1,0,1;1,1,0,1,1,5;0,1,0,0,1,6;1,1,0,1,1,3;1,1,0,1,1,1;1,0,0,0,1,7;1,1,0,0,0,3;0,1,0,1,0,0;1,1,0,0,0,1;1,1,0,1,1,7
51	1,0,0,1,1,1	0,0,0,0,0,0;0,1,0,0,0,6;0,0,1,0,1,3;0,0,0,0,1,4;0,1,0,0,0,0;0,0,0,0,0,6;0,0,0,0,0,4;0,1,1,0,1,5;0,1,0,0,1,2;0,0,0,0,0,6;0,1,0,0,0,4;0,1,0,0,0,2;0,0,1,0,0,7;0,1,1,0,1,3;0,0,1,0,1,1;0,0,1,0,1,7;0,1,0,0,1,4;0,0,0,0,1,2;0,0,0,0,1,0;0,1,0,0,0,6;0,1,0,0,0,4;0,0,0,0,0,2;0,1,1,0,0,1;0,0,1,0,1,5;0,1,1,0,1,3;0,1,1,0,1,1;0,0,0,0,1,2;0,1,0,0,1,0;0,1,0,0,1,6;0,0,0,0,0,4;0,0,0,0,0,2;0,1,0,0,0,0;0,1,1,0,0,7;0,0,1,0,0,5;0,0,1,0,0,3;0,1,1,0,1,1;0,1,1,0,1,7;0,0,1,0,1,5;0,1,0,0,1,2;0,1,0,0,1,0;0,0,0,0,1,6;0,1,0,0,0,2;0,0,1,0,0,1;0,1,1,0,0,7;0,1,1,0,0,5;0,0,1,0,1,3;0,0,1,0,1,1;0,1,1,0,1,7;0,0,0,0,1,0;0,0,0,0,1,6;0,1,0,0,1,4;0,0,0,0,0,0;0,1,1,0,0,5;0,1,1,0,0,3;0,0,1,0,0,1;0,1,1,0,1,5;0,1,0,0,1,6;0,0,1,0,0,7;0,0,1,0,0,5;0,1,1,0,0,3;0,0,1,0,1,7;0,0,0,0,1,4;0,1,1,0,0,1;0,0,1,0,0,3
52	0,1,1,1,1,0	0,0,0,0,0,0;0,1,0,1,0,1;1,0,1,0,0,2;1,0,0,1,0,0;0,0,1,1,0,0;0,0,0,0,0,6;0,0,0,0,0,4;1,1,1,1,0,1;1,1,0,0,0,1;0,1,1,0,0,1;0,1,0,1,0,7;0,1,0,1,0,5;0,0,1,1,0,2;1,0,0,1,0,2;1,0,1,0,0,0;1,0,1,0,0,6;1,0,1,0,0,0;1,0,0,1,0,6;1,0,0,1,0,4;0,0,1,1,0,6;0,0,1,1,0,4;0,0,0,0,0,2;0,1,1,0,0,1;1,1,0,0,0,1;1,1,1,1,0,7;1,1,1,1,0,5;1,1,1,1,0,1;1,1,0,0,0,7;1,1,0,0,0,5;0,1,1,0,0,7;0,1,1,0,0,5;0,1,0,1,0,3;0,0,0,0,0,2;0,0,1,1,0,0;0,0,1,1,0,6;1,0,0,1,0,0;1,0,0,1,0,6;1,0,1,0,0,4;1,0,1,0,0,6;1,0,1,0,0,4;1,0,0,1,0,2;0,0,1,1,0,2;0,1,0,1,0,1;0,1,1,0,0,7;0,1,1,0,0,5;1,1,0,0,0,7;1,1,0,0,0,5;1,1,1,1,0,3;1,1,1,1,0,7;1,1,1,1,0,5;1,1,0,0,0,3;0,1,1,0,0,3;0,0,0,0,0,0;0,0,0,0,0,6;0,0,1,1,0,4;1,0,0,1,0,4;1,0,1,0,0,2;0,1,0,1,0,7;0,1,0,1,0,5;0,1,1,0,0,3;1,1,0,0,0,3;1,1,1,1,0,3;0,0,0,0,0,4;0,1,0,1,0,3
53	0,1,1,1,0,1	0,0,0,0,0,0;0,1,0,1,0,3;1,0,1,0,0,4;1,0,0,1,0,0;0,0,1,1,0,0;0,0,0,0,0,6;0,0,0,0,0,4;1,1,1,1,0,1;1,1,0,0,0,3;0,1,1,0,0,3;0,1,0,1,0,1;0,1,0,1,0,7;0,0,1,1,0,4;1,0,0,1,0,4;1,0,1,0,0,2;1,0,1,0,0,0;1,0,1,0,0,0;1,0,0,1,0,6;1,0,0,1,0,4;0,0,1,1,0,6;0,0,1,1,0,4;0,0,0,0,0,2;0,1,1,0,0,1;1,1,0,0,0,1;1,1,1,1,0,7;1,1,1,1,0,5;1,1,1,1,0,3;1,1,0,0,0,1;1,1,0,0,0,7;0,1,1,0,0,1;0,1,1,0,0,7;0,1,0,1,0,5;0,0,0,0,0,4;0,0,1,1,0,2;0,0,1,1,0,0;1,0,0,1,0,2;1,0,0,1,0,0;1,0,1,0,0,6;1,0,1,0,0,6;1,0,1,0,0,4;1,0,0,1,0,2;0,0,1,1,0,2;0,1,0,1,0,1;0,1,1,0,0,7;0,1,1,0,0,5;1,1,0,0,0,7;1,1,0,0,0,5;1,1,1,1,0,3;1,1,1,1,0,1;1,1,1,1,0,7;1,1,0,0,0,5;0,1,1,0,0,5;0,0,0,0,0,2;0,0,0,0,0,0;0,0,1,1,0,6;1,0,0,1,0,6;1,0,1,0,0,2;0,1,0,1,0,7;0,1,0,1,0,5;0,1,1,0,0,3;1,1,0,0,0,3;1,1,1,1,0,5;0,0,0,0,0,6;0,1,0,1,0,3
54	0,1,1,0,1,1	0,0,0,0,0,0;0,0,0,1,0,5;1,0,0,0,0,6;1,0,0,0,0,0;0,0,1,1,0,0;0,0,0,0,0,6;0,0,0,0,0,4;1,0,0,1,0,1;1,0,0,1,0,5;0,0,1,0,0,5;0,0,0,1,0,3;0,0,0,1,0,1;0,0,0,0,0,6;1,0,1,1,0,6;1,0,0,0,0,4;1,0,0,0,0,2;1,0,1,1,0,0;1,0,0,0,0,6;1,0,0,0,0,4;0,0,1,1,0,6;0,0,1,1,0,4;0,0,0,0,0,2;0,0,0,1,0,1;1,0,1,0,0,1;1,0,0,1,0,7;1,0,0,1,0,5;1,0,1,0,0,5;1,0,0,1,0,3;1,0,0,1,0,1;0,0,1,0,0,3;0,0,1,0,0,1;0,0,0,1,0,7;0,0,1,1,0,6;0,0,0,0,0,4;0,0,0,0,0,2;1,0,1,1,0,4;1,0,1,1,0,2;1,0,0,0,0,0;1,0,1,1,0,6;1,0,1,1,0,4;1,0,0,0,0,2;0,0,1,1,0,2;0,0,1,0,0,1;0,0,0,1,0,7;0,0,0,1,0,5;1,0,1,0,0,7;1,0,1,0,0,5;1,0,0,1,0,3;1,0,1,0,0,3;1,0,1,0,0,1;1,0,0,1,0,7;0,0,1,0,0,7;0,0,1,1,0,4;0,0,1,1,0,2;0,0,0,0,0,0;1,0,1,1,0,0;1,0,1,1,0,2;0,0,1,0,0,7;0,0,1,0,0,5;0,0,0,1,0,3;1,0,1,0,0,3;1,0,1,0,0,7;0,0,1,1,0,0;0,0,1,0,0,3
55	0,1,0,1,1,1	0,0,0,0,0,0;0,1,0,0,1,1;0,0,1,0,0,6;1,0,0,1,0,0;0,0,1,0,0,0;0,0,0,0,0,6;0,0,0,0,0,4;0,1,1,0,1,5;1,1,0,1,1,1;0,1,1,0,1,1;0,1,0,0,1,7;0,1,0,0,1,5;1,0,1,1,0,6;0,0,0,0,0,6;0,0,1,0,0,4;0,0,1,0,0,2;1,0,1,1,0,0;1,0,0,1,0,6;1,0,0,1,0,4;0,0,1,0,0,6;0,0,1,0,0,4;0,0,0,0,0,2;1,1,1,1,1,5;0,1,0,0,1,5;0,1,1,0,1,3;0,1,1,0,1,1;1,1,1,1,1,1;1,1,0,1,1,7;1,1,0,1,1,5;0,1,1,0,1,7;0,1,1,0,1,5;0,1,0,0,1,3;1,0,0,1,0,6;1,0,1,1,0,4;1,0,1,1,0,2;0,0,0,0,0,4;0,0,0,0,0,2;0,0,1,0,0,0;1,0,1,1,0,6;1,0,1,1,0,4;1,0,0,1,0,2;0,0,1,0,0,2;1,1,0,1,1,5;1,1,1,1,1,3;1,1,1,1,1,1;0,1,0,0,1,3;0,1,0,0,1,1;0,1,1,0,1,7;1,1,1,1,1,7;1,1,1,1,1,5;1,1,0,1,1,3;0,1,1,0,1,3;1,0,0,1,0,4;1,0,0,1,0,2;1,0,1,1,0,0;0,0,0,0,0,0;1,0,1,1,0,2;1,1,0,1,1,3;1,1,0,1,1,1;1,1,1,1,1,7;0,1,0,0,1,7;1,1,1,1,1,3;1,0,0,1,0,0;1,1,0,1,1,7
56	0,0,1,1,1,1	0,0,0,0,0,0;0,1,0,1,1,2;1,0,1,0,0,6;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,1,1,4;0,1,0,0,1,2;0,1,0,0,1,2;0,1,0,1,1,2;0,1,0,1,1,2;1,0,1,1,0,6;1,0,1,1,0,6;1,0,1,0,0,6;1,0,1,0,0,6;0,0,0,0,0,0;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,1,0,0;0,0,0,0,0,0;1,1,1,0,1,4;1,1,1,0,1,4;1,1,1,1,1,4;1,1,1,1,1,4;0,1,0,1,1,2;0,1,0,0,1,2;0,1,0,0,1,2;0,1,0,0,1,2;0,1,0,0,1,2;0,1,0,1,1,2;1,0,1,0,0,6;1,0,1,1,0,6;1,0,1,1,0,6;1,0,1,1,0,6;1,0,1,1,0,6;1,0,1,0,0,6;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,1,0,0;0,0,0,1,0,0;1,1,1,1,1,4;1,1,1,0,1,4;1,1,1,0,1,4;1,1,1,0,1,4;1,1,1,0,1,4;1,1,1,1,1,4;0,1,0,1,1,2;0,1,0,1,1,2;0,1,0,0,1,2;0,1,0,0,1,2;1,0,1,0,0,6;1,0,1,0,0,6;1,0,1,1,0,6;1,0,1,1,0,6;0,0,0,0,0,0;1,1,1,1,1,4;1,1,1,1,1,4;1,1,1,0,1,4;1,1,1,0,1,4;0,1,0,1,1,2;1,0,1,0,0,6;1,1,1,1,1,4
57	1,1,1,1,1,0	0,0,0,0,0,0;0,1,0,1,0,1;1,0,1,0,1,5;1,0,0,0,1,4;0,1,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,1,1,4;1,1,0,1,1,5;0,0,1,0,0,1;0,1,0,1,0,1;0,1,0,1,0,1;0,0,1,0,0,1;1,1,0,1,1,5;1,0,1,0,1,5;1,0,1,0,1,5;1,1,1,1,1,4;1,0,0,0,1,4;1,0,0,0,1,4;0,1,1,1,0,0;0,1,1,1,0,0;0,0,0,0,0,0;0,1,1,1,0,0;1,0,0,0,1,4;1,1,1,1,1,4;1,1,1,1,1,4;1,0,1,0,1,5;1,1,0,1,1,5;1,1,0,1,1,5;0,0,1,0,0,1;0,0,1,0,0,1;0,1,0,1,0,1;0,1,0,1,0,1;0,0,1,0,0,1;0,0,1,0,0,1;1,1,0,1,1,5;1,1,0,1,1,5;1,0,1,0,1,5;1,1,1,1,1,4;1,1,1,1,1,4;1,0,0,0,1,4;0,1,1,1,0,0;0,0,0,0,0,0;0,1,1,1,0,0;0,1,1,1,0,0;1,0,0,0,1,4;1,0,0,0,1,4;1,1,1,1,1,4;1,0,1,0,1,5;1,0,1,0,1,5;1,1,0,1,1,5;0,0,1,0,0,1;0,1,0,1,0,1;0,1,0,1,0,1;0,0,1,0,0,1;1,1,0,1,1,5;1,1,1,1,1,4;0,0,0,0,0,0;0,0,0,0,0,0;0,1,1,1,0,0;1,0,0,0,1,4;1,0,1,0,1,5;0,1,0,1,0,1;0,0,0,0,0,0
58	1,1,1,1,0,1	0,0,0,0,0,0;0,1,0,1,0,3;1,0,1,0,1,7;1,0,0,0,1,4;0,1,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,1,1,4;1,1,0,1,1,7;0,0,1,0,0,3;0,1,0,1,0,3;0,1,0,1,0,3;0,0,1,0,0,3;1,1,0,1,1,7;1,0,1,0,1,7;1,0,1,0,1,7;1,1,1,1,1,4;1,0,0,0,1,4;1,0,0,0,1,4;0,1,1,1,0,0;0,1,1,1,0,0;0,0,0,0,0,0;0,1,1,1,0,0;1,0,0,0,1,4;1,1,1,1,1,4;1,1,1,1,1,4;1,0,1,0,1,7;1,1,0,1,1,7;1,1,0,1,1,7;0,0,1,0,0,3;0,0,1,0,0,3;0,1,0,1,0,3;0,1,0,1,0,3;0,0,1,0,0,3;0,0,1,0,0,3;1,1,0,1,1,7;1,1,0,1,1,7;1,0,1,0,1,7;1,1,1,1,1,4;1,1,1,1,1,4;1,0,0,0,1,4;0,1,1,1,0,0;0,0,0,0,0,0;0,1,1,1,0,0;0,1,1,1,0,0;1,0,0,0,1,4;1,0,0,0,1,4;1,1,1,1,1,4;1,0,1,0,1,7;1,0,1,0,1,7;1,1,0,1,1,7;0,0,1,0,0,3;0,1,0,1,0,3;0,1,0,1,0,3;0,0,1,0,0,3;1,1,0,1,1,7;1,1,1,1,1,4;0,0,0,0,0,0;0,0,0,0,0,0;0,1,1,1,0,0;1,0,0,0,1,4;1,0,1,0,1,7;0,1,0,1,0,3;0,0,0,0,0,0
59	1,1,1,0,1,1	0,0,0,0,0,0;0,0,0,1,0,5;1,0,0,0,1,1;1,0,0,1,1,4;0,1,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,0,0,1,1,4;1,0,0,0,1,1;0,1,1,0,0,5;0,0,0,1,0,5;0,0,0,1,0,5;0,0,0,1,0,5;1,1,1,1,1,1;1,0,0,0,1,1;1,0,0,0,1,1;1,1,1,0,1,4;1,0,0,1,1,4;1,0,0,1,1,4;0,1,1,1,0,0;0,1,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,0,1,4;1,0,0,1,1,4;1,0,0,1,1,4;1,1,1,1,1,1;1,0,0,0,1,1;1,0,0,0,1,1;0,1,1,0,0,5;0,1,1,0,0,5;0,0,0,1,0,5;0,1,1,0,0,5;0,0,0,1,0,5;0,0,0,1,0,5;1,1,1,1,1,1;1,1,1,1,1,1;1,0,0,0,1,1;1,1,1,0,1,4;1,1,1,0,1,4;1,0,0,1,1,4;0,1,1,1,0,0;0,1,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,0;1,1,1,0,1,4;1,1,1,0,1,4;1,0,0,1,1,4;1,1,1,1,1,1;1,1,1,1,1,1;1,0,0,0,1,1;0,1,1,0,0,5;0,1,1,0,0,5;0,1,1,0,0,5;0,0,0,1,0,5;1,1,1,1,1,1;1,1,1,0,1,4;0,1,1,1,0,0;0,1,1,1,0,0;0,0,0,0,0,0;1,1,1,0,1,4;1,1,1,1,1,1;0,1,1,0,0,5;0,1,1,1,0,0
60	1,1,0,1,1,1	0,0,0,0,0,0;0,1,0,0,1,1;0,0,1,0,1,1;1,0,0,0,1,4;0,1,1,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,1,1,0,0,0;1,1,0,0,0,5;0,0,1,0,1,1;0,1,0,0,1,1;0,1,0,0,1,1;1,0,1,0,0,5;0,1,0,0,1,1;0,0,1,0,1,1;0,0,1,0,1,1;1,1,1,0,1,4;1,0,0,0,1,4;1,0,0,0,1,4;0,1,1,0,0,0;0,1,1,0,0,0;0,0,0,0,0,0;1,1,1,0,1,4;0,0,0,0,0,0;0,1,1,0,0,0;0,1,1,0,0,0;1,0,1,0,0,5;1,1,0,0,0,5;1,1,0,0,0,5;0,0,1,0,1,1;0,0,1,0,1,1;0,1,0,0,1,1;1,1,0,0,0,5;1,0,1,0,0,5;1,0,1,0,0,5;0,1,0,0,1,1;0,1,0,0,1,1;0,0,1,0,1,1;1,1,1,0,1,4;1,1,1,0,1,4;1,0,0,0,1,4;0,1,1,0,0,0;1,0,0,0,1,4;1,1,1,0,1,4;1,1,1,0,1,4;0,0,0,0,0,0;0,0,0,0,0,0;0,1,1,0,0,0;1,0,1,0,0,5;1,0,1,0,0,5;1,1,0,0,0,5;0,0,1,0,1,1;1,1,0,0,0,5;1,1,0,0,0,5;1,0,1,0,0,5;0,1,0,0,1,1;1,1,1,0,1,4;1,0,0,0,1,4;1,0,0,0,1,4;1,1,1,0,1,4;0,0,0,0,0,0;1,0,1,0,0,5;1,1,0,0,0,5;1,0,0,0,1,4
61	1,0,1,1,1,1	0,0,0,0,0,0;0,1,0,1,1,2;1,0,1,0,1,3;0,0,0,0,1,4;0,1,0,1,0,0;0,0,0,0,0,6;0,0,0,0,0,4;1,1,1,1,0,1;0,1,0,1,0,6;0,0,0,0,1,2;0,1,0,1,1,0;0,1,0,1,1,6;1,0,1,0,0,7;1,1,1,1,1,3;1,0,1,0,1,1;1,0,1,0,1,7;0,1,0,1,1,4;0,0,0,0,1,2;0,0,0,0,1,0;0,1,0,1,0,6;0,1,0,1,0,4;0,0,0,0,0,2;1,1,1,1,1,5;1,0,1,0,0,1;1,1,1,1,0,7;1,1,1,1,0,5;0,0,0,0,0,6;0,1,0,1,0,4;0,1,0,1,0,2;0,0,0,0,1,0;0,0,0,0,1,6;0,1,0,1,1,4;1,1,1,1,0,7;1,0,1,0,0,5;1,0,1,0,0,3;1,1,1,1,1,1;1,1,1,1,1,7;1,0,1,0,1,5;0,1,0,1,1,2;0,1,0,1,1,0;0,0,0,0,1,6;0,1,0,1,0,2;1,0,1,0,1,5;1,1,1,1,1,3;1,1,1,1,1,1;1,0,1,0,0,7;1,0,1,0,0,5;1,1,1,1,0,3;0,0,0,0,0,4;0,0,0,0,0,2;0,1,0,1,0,0;0,0,0,0,1,4;1,1,1,1,0,5;1,1,1,1,0,3;1,0,1,0,0,1;1,1,1,1,1,5;0,1,0,1,1,6;1,0,1,0,1,3;1,0,1,0,1,1;1,1,1,1,1,7;1,0,1,0,0,3;0,0,0,0,0,0;1,1,1,1,0,1;1,0,1,0,1,7
62	0,1,1,1,1,1	0,0,0,0,0,0;0,1,0,1,0,5;1,0,1,0,0,6;1,0,0,1,0,0;0,0,1,1,0,0;0,0,0,0,0,6;0,0,0,0,0,4;1,1,1,1,0,1;1,1,0,0,0,5;0,1,1,0,0,5;0,1,0,1,0,3;0,1,0,1,0,1;0,0,1,1,0,6;1,0,0,1,0,6;1,0,1,0,0,4;1,0,1,0,0,2;1,0,1,0,0,0;1,0,0,1,0,6;1,0,0,1,0,4;0,0,1,1,0,6;0,0,1,1,0,4;0,0,0,0,0,2;0,1,1,0,0,1;1,1,0,0,0,1;1,1,1,1,0,7;1,1,1,1,0,5;1,1,1,1,0,5;1,1,0,0,0,3;1,1,0,0,0,1;0,1,1,0,0,3;0,1,1,0,0,1;0,1,0,1,0,7;0,0,0,0,0,6;0,0,1,1,0,4;0,0,1,1,0,2;1,0,0,1,0,4;1,0,0,1,0,2;1,0,1,0,0,0;1,0,1,0,0,6;1,0,1,0,0,4;1,0,0,1,0,2;0,0,1,1,0,2;0,1,0,1,0,1;0,1,1,0,0,7;0,1,1,0,0,5;1,1,0,0,0,7;1,1,0,0,0,5;1,1,1,1,0,3;1,1,1,1,0,3;1,1,1,1,0,1;1,1,0,0,0,7;0,1,1,0,0,7;0,0,0,0,0,4;0,0,0,0,0,2;0,0,1,1,0,0;1,0,0,1,0,0;1,0,1,0,0,2;0,1,0,1,0,7;0,1,0,1,0,5;0,1,1,0,0,3;1,1,0,0,0,3;1,1,1,1,0,7;0,0,0,0,0,0;0,1,0,1,0,3
